Class1,Class2,Class3
0.999,0.033220226882736,0.409239848130993
0.951614926186541,0.255152487049077,0.001
0.001,0.413868993360203,0.44311893712316
0.001,0.390430555044388,0.552133340925693
0.133552161859814,0.566989110298373,0.990741540564807
0.029026439188308,0.158269384816792,0.458027774106103
0.0341227142226856,0.0405723836022572,0.277358416685915
0.193677311516948,0.614637255717901,0.998265054801086
0.0196675308111633,0.416452326994711,0.741475428394243
0.573796071474851,0.999,0.999
0.745184798915236,0.001,0.00961024069730341
0.001,0.581521265289082,0.701935336357378
0.0189627634721526,0.595767596503957,0.821735635055904
0.001,0.229160492718792,0.504874755476367
0.001,0.285895768010982,0.410713442711748
0.0357859989869172,0.524985253552942,0.309519124338028
0.001,0.505990733995409,0.666287625093374
0.0859938042798114,0.999,0.999
0.157257699849512,0.811840605763839,0.999
0.001,0.590775761108226,0.999
0.001,0.570348648199748,0.999
0.00768511219861122,0.451845040445234,0.999
0.001,0.30480332384027,0.733836777610795
0.0257603952827143,0.404184727112293,0.78628308307941
0.165829471568947,0.128922602039435,0.672341915245063
0.001,0.001,0.131276634160764
0.001,0.0148336836336621,0.497101527840503
0.001,0.001,0.27091063269027
0.001,0.001,0.833531476616254
0.940584629508528,0.734097621439413,0.001
0.813307897227037,0.134332211919239,0.001
0.0339898085175862,0.001,0.950346847354063
0.319850562180477,0.860421791167699,0.660334666175277
0.997498853213842,0.635729583964471,0.512148017205174
0.382945656423632,0.999,0.512587379842018
0.0379166871695093,0.001,0.937534996257512
0.280154445338445,0.727419045307146,0.999
0.81034809798184,0.638365746442961,0.001
0.999,0.948966560204091,0.253550575683011
0.985285132424906,0.945224861919577,0.230268127320952
0.0108579729870055,0.001,0.863379329183761
0.0261702028855964,0.33098495681801,0.95520863063875
0.811310969322727,0.001,0.647969485262488
0.685412560020264,0.0794796964596995,0.999
0.999,0.0713466345245108,0.999
0.954384111184032,0.169076313387318,0.966113780108697
0.00283296543368149,0.001,0.604945947457394
0.010065121459505,0.001,0.84602510661374
0.083339240673156,0.001,0.827694754730297
0.001,0.001,0.723968532499743
0.00786392350225996,0.133514134115067,0.425166893613864
0.001,0.0703446235718526,0.542778384657256
0.0926956396821739,0.413827545301394,0.999
0.0528055656274681,0.0961657615222491,0.999
0.0455055630143834,0.001,0.999
0.001,0.50160243568775,0.388332887236985
0.001,0.0240271800106752,0.357051464397478
0.001,0.672481414712458,0.42765112023571
0.001,0.850944200132987,0.999
0.001,0.824425231213888,0.987652417697124
0.001,0.943735675251166,0.509686073858931
0.001,0.498480361780469,0.331178957111964
0.0134973454755385,0.38278722571829,0.382654609972183
0.001,0.375659553274692,0.352928140885421
0.001,0.458795696529463,0.164651715665486
0.00903451187189472,0.315891798940446,0.388377402683886
0.895135883005399,0.015431077647093,0.470545349077909
0.206524838659961,0.999,0.966121916953641
0.40924517789112,0.964843238936358,0.813616380503904
0.125817610968799,0.999,0.864639589359481
0.938215091421333,0.001,0.663511963440337
0.001,0.917155314366852,0.528004292016719
0.830040159329571,0.250122646681152,0.38287994946048
0.129416114823666,0.999,0.999
0.0862018272449671,0.999,0.999
0.986647151271283,0.403914317052885,0.62793046140236
0.021784374898143,0.524076040259197,0.439482643480038
0.001,0.969376026277604,0.300855745192625
0.0168557766572686,0.451525194418959,0.77845982199837
0.001,0.494380158168445,0.465216468534003
0.18048160559341,0.826193913535603,0.371625815591372
0.00848936918204061,0.206556304990969,0.170077660549161
0.001,0.246348798705494,0.648976133207236
0.001,0.120568077664525,0.548740893053909
0.332211402561932,0.633545096936642,0.794597902053405
0.00906559519015641,0.29598150156387,0.390727654690854
0.0107805275389846,0.365608776946361,0.623497348111734
0.0668534014275765,0.108017498000729,0.38491513877042
0.191747009116563,0.999,0.467386288605579
0.990381042177586,0.634592754677082,0.579510445632768
0.91878329652895,0.703308240770408,0.696582379988295
0.085176182094097,0.652598224544494,0.740203248563565
0.222304167372555,0.920115931552599,0.881784279347557
0.248711543347881,0.915488508692787,0.860799298338243
0.118841563867022,0.623587388734214,0.804733964809785
0.446454288786391,0.999,0.879212675077301
0.198915007317797,0.656854737059099,0.895185399428535
0.001,0.881932237798802,0.828710943315891
0.001,0.917259998812126,0.782561533654465
0.001,0.661240516231436,0.999
0.00156854362636403,0.001,0.0365204153983591
0.001,0.001,0.31512540441917
0.00371143331536853,0.001,0.10385215764809
0.0130089493660221,0.0521626343525349,0.367792755101713
0.214476824761934,0.315245595097931,0.914244042784467
0.304920067205034,0.413489748488906,0.778352889307972
0.001,0.474370916334599,0.999
0.001,0.918185627311455,0.999
0.0220660092384682,0.168226962520377,0.997187037756
0.0381746673661998,0.0645262474915982,0.503478570880316
0.158104064392996,0.149543999535853,0.999
0.298837353842753,0.353427048247269,0.999
0.921644906307758,0.706800070794542,0.946482650874476
0.889096119959803,0.576422208575441,0.999
0.724023548999496,0.241115749313145,0.653114072239143
0.881146488367514,0.195448139415383,0.927713624927216
